,L1_ITO,L2_ZnO,L3_CuGeSeSnS,L4_Au,Transmission,Reflection
350.0,0.04968481825577893,0.6787748724475783,0.08577490054518008,6.216197173191683e-14,0.010969587834498362,0.1747958209169021
352.0,0.044318354338076245,0.6853449991025283,0.08292305009188788,1.1288513733700646e-13,0.01084744590271211,0.17656615056468242
354.0,0.039638890056697455,0.6922993723660642,0.08018526402203557,1.9836359747744096e-13,0.010753421033432964,0.1771230525215714
356.0,0.0355326286363409,0.6989920327019679,0.07928531132217038,3.5029367863435597e-13,0.01072122085244065,0.1754688064867299
358.0,0.03187837562552865,0.7054760994526746,0.0800945275011264,6.22838462055244e-13,0.010733288498408794,0.17181770892163864
360.0,0.028696543992770444,0.7123737223888476,0.08082344690700356,1.0659207195446548e-12,0.010748239667833004,0.16735804704247947
362.0,0.025906400213619483,0.7195623594962784,0.0835387132715475,1.7306912740246443e-12,0.010810122026842311,0.16018240498998157
364.0,0.023442963791522775,0.7269899988476298,0.08613734357136066,2.548727444976725e-12,0.010879473597446537,0.15255022018949152
366.0,0.021208645498421372,0.7331514149902989,0.09112645507899517,3.5836850919778324e-12,0.010995330955270388,0.14351815347343044
368.0,0.019243925300056627,0.7372774920400156,0.09893535449910298,5.0239900627316e-12,0.01115897610302699,0.1333842520527739
370.0,0.017520007937533836,0.7403926319010269,0.10734497169888135,7.1061625288196655e-12,0.011329306007359694,0.12341308244809203
372.0,0.015927446447336357,0.7372741943516612,0.12341141560909222,1.0972829615760609e-11,0.01163829842678013,0.11174864515415736
374.0,0.014541055327860446,0.7309580218762333,0.141682077715994,1.7459956223750166e-11,0.011996023080364362,0.10082282198208807
376.0,0.013211687755456438,0.7121848369983096,0.16572974175308253,2.877434315726923e-11,0.012507512629881687,0.09636622083449543
378.0,0.011899730421024244,0.6768384767596646,0.19707288907213671,4.837011765540025e-11,0.013243387418923822,0.10094551627988059
380.0,0.010760938461134788,0.6314984044979113,0.23304509126961534,8.017592861215348e-11,0.014137432600372812,0.11055813309078977
382.0,0.009703360537699691,0.5763587361802143,0.27091085446368873,1.295827147004166e-10,0.015109032870968153,0.1279180158178465
384.0,0.008796107727349093,0.5104070898174872,0.31320115212214683,2.0799463494732273e-10,0.01621473776281429,0.15138091236220802
386.0,0.008004609482421477,0.45214878708972883,0.34707091601902407,3.2135017024462576e-10,0.01704091373142899,0.1757347733560464
388.0,0.0074110831476208025,0.4087468102215962,0.3698767665831538,4.788739734852018e-10,0.017495269644931116,0.19647006992382407
390.0,0.0068983893630944,0.36376210405392284,0.3940105606594821,7.08041623105131e-10,0.017972964198449626,0.21735598101700937
392.0,0.006516684754810232,0.3244400795062932,0.4144290517707303,1.0134129814514914e-09,0.018332251658164767,0.23628193129658848
394.0,0.006251134116594434,0.28468874508692843,0.4364105078928338,1.4184625099253067e-09,0.018743404536176844,0.253906206949004
396.0,0.006028795130992432,0.25088274485596485,0.45680681257573347,1.93409949714688e-09,0.019117702829578476,0.2671639426736313
398.0,0.005878474867209016,0.22346299487440013,0.47570220084696235,2.5980437999333448e-09,0.01945401371719163,0.27550231309619305
400.0,0.005793083089534467,0.19599054561313303,0.49686058289868523,3.4962569077491127e-09,0.019853460415194923,0.2815023244871954
402.0,0.00580763758245798,0.17429005267665923,0.517174777268364,4.699605526849021e-09,0.020225244786578,0.28250228298633523
404.0,0.005803674252062298,0.1524039066669161,0.5399548396408537,6.3158012125935465e-09,0.02066728634400339,0.2811702867803634
406.0,0.005893252868432434,0.1361155482790167,0.5616175566512742,8.322127219268248e-09,0.021092876688351747,0.27528075719079764
408.0,0.005990578192749068,0.12570026264622086,0.5814396408102923,1.060163587174421e-08,0.021498016166539013,0.2653714915825628
410.0,0.00610193889974607,0.11531137953481814,0.6029053747682545,1.3065832497739428e-08,0.021988464267437613,0.25369282946391114
412.0,0.00627167067201603,0.10512038115760737,0.6258718931499113,1.5668738368715495e-08,0.022554581242881316,0.24018145810884553
414.0,0.006456844541640737,0.09464354724564686,0.6508351806606804,1.8525512022711355e-08,0.023197182546980166,0.22486722647953988
416.0,0.006699432334198682,0.08514471649361652,0.676836839103631,2.189867504320257e-08,0.023868096125369304,0.20745089404450937
418.0,0.006948861591597256,0.07665662184454651,0.7038326622136486,2.6205437774846036e-08,0.024545967286958875,0.188015860857811
420.0,0.007203520914690158,0.06753535586599951,0.7327275018996509,3.2021342509255944e-08,0.025239757782082345,0.16729383151623464
422.0,0.007488307066935672,0.06595785160247421,0.7568070879537622,3.960973299813183e-08,0.02575426504885811,0.14399244871823683
424.0,0.007707822398372345,0.06423904466815478,0.7810323114407662,4.946634485275247e-08,0.02623765679453957,0.12078311523182231
426.0,0.007963173223931983,0.06345365774834556,0.8036036022210497,6.136034156297257e-08,0.026657848511300986,0.0983216569350302
428.0,0.008196695759412885,0.06374235363169563,0.8237960237582483,7.428166729393377e-08,0.02702325924370043,0.07724159332527546
430.0,0.00846872867998361,0.06390895104793262,0.8419089327291738,8.705645881141277e-08,0.027358173421433284,0.05835512706501792
432.0,0.008637721007790453,0.06386442082375438,0.8568598072561567,9.884446963499757e-08,0.02763112198956555,0.04300683007826331
434.0,0.008783104122360393,0.06367407002425995,0.8694852912360284,1.1020246056996345e-07,0.02784952960790062,0.03020789480699008
436.0,0.008956815621266627,0.06328796135691173,0.8794801176535343,1.229570003586203e-07,0.027969828168704556,0.02030515424258247
438.0,0.009091415832432188,0.06267631807232879,0.8867731322318751,1.4006562680980487e-07,0.02795372583821005,0.013505267959527048
440.0,0.009121937716974787,0.061829057364562894,0.8913234640068675,1.6521471645399128e-07,0.02777586798410466,0.009949507712773732
442.0,0.009167752552901637,0.060737866435789115,0.8929388144914409,2.0262981447169642e-07,0.027425118582294926,0.00973024530775899
444.0,0.009168945492867413,0.05943065431166245,0.8916582562962846,2.5582593431514846e-07,0.026923440508656363,0.012818447564594822
446.0,0.009131410129527942,0.05799430235756938,0.8876037900834605,3.272883479003475e-07,0.026310263878805872,0.018959906262288485
448.0,0.009062865980648453,0.05639562943570852,0.8810776971472654,4.17556713098305e-07,0.025631046766205937,0.027832343113458655
450.0,0.009026956992605568,0.05471776597398078,0.8722593265602798,5.238411437587041e-07,0.024921053815975515,0.03907437281601447
452.0,0.008919181003456771,0.05301106365075868,0.8620114458163237,6.437288619413062e-07,0.024214140412906725,0.05184352538769208
454.0,0.008797835264064564,0.051281737373197044,0.8501173182320011,7.734390990115769e-07,0.023507562596041878,0.06629477309559643
456.0,0.008666515407751717,0.04954785100050913,0.8368940138903392,9.118415942125059e-07,0.02280559169225166,0.08208511616755404
458.0,0.008578625355189795,0.047820354252693965,0.8226174338723549,1.0609186503474088e-06,0.02210628618545954,0.09887623941565146
460.0,0.00843150245662062,0.046105900890361845,0.8074685601987243,1.2229501682139496e-06,0.021407753303974014,0.11658506020015105
